params,samples,features,accuracy,recall_0,recall_1,avg_score
"(None, 1, False, (1, 1), False)",400,4362,0.7910186527979197,0.8215643128625725,0.7604760476047605,0.7910196710884175
"(None, 1, False, (1, 1), True)",400,4491,0.8452767915187278,0.8399679935987198,0.8505850585058505,0.8452766145410994
"(None, 1, False, (1, 2), False)",400,28533,0.7924688703305496,0.8149629925985197,0.76997699769977,0.7924696202096131
"(None, 1, False, (1, 2), True)",400,29844,0.8504275641346202,0.8819763952790558,0.8188818881888189,0.8504286158674983
"(None, 1, False, (1, 3), False)",400,64704,0.7837675651347702,0.8055611122224445,0.7619761976197621,0.7837682916589923
"(None, 1, False, (1, 3), True)",400,62807,0.8256738510776617,0.9200840168033608,0.7312731273127313,0.8256769983979179
"(None, 1, True, (1, 1), False)",400,4382,0.8358753813071961,0.8579715943188637,0.8137813781378138,0.8358761179212912
"(None, 1, True, (1, 1), True)",400,4282,0.8593789068360254,0.8741748349669934,0.8445844584458446,0.8593794000829544
"(None, 1, True, (1, 2), False)",400,28697,0.8357753663049458,0.8705741148229645,0.8009800980098009,0.835776526379237
"(None, 1, True, (1, 2), True)",400,29476,0.8662799419912987,0.9237847569513904,0.8087808780878087,0.866281859010166
"(None, 1, True, (1, 3), False)",400,69515,0.8254238135720358,0.8896779355871174,0.7611761176117612,0.8254259555903047
"(None, 1, True, (1, 3), True)",400,66371,0.8539780967145072,0.9056811362272454,0.8022802280228023,0.8539798203215184
"(None, 3, False, (1, 1), False)",400,1410,0.8000200030004501,0.7940588117623525,0.8059805980598059,0.8000198042742029
"(None, 3, False, (1, 1), True)",400,1371,0.8569285392808922,0.8527705541108221,0.8610861086108611,0.8569284006675252
"(None, 3, False, (1, 2), False)",400,3520,0.7961694254138121,0.8287657531506302,0.7635763576357636,0.7961705120667353
"(None, 3, False, (1, 2), True)",400,3524,0.8619292893934091,0.8685737147429486,0.8552855285528553,0.8619295108964042
"(None, 3, False, (1, 3), False)",400,3806,0.8016702505375807,0.8144628925785157,0.7888788878887889,0.8016706770016283
"(None, 3, False, (1, 3), True)",400,4084,0.8546281942291344,0.8587717543508702,0.8504850485048505,0.8546283323616185
"(None, 3, True, (1, 1), False)",400,1375,0.8351252687903186,0.8729745949189838,0.7972797279727972,0.8351265305606997
"(None, 3, True, (1, 1), True)",400,1400,0.8591288693303996,0.8624724944988997,0.8557855785578558,0.8591289807957184
"(None, 3, True, (1, 2), False)",400,3302,0.8241736260439065,0.8472694538907781,0.8010801080108011,0.8241743959818285
"(None, 3, True, (1, 2), True)",400,3538,0.8691803770565585,0.8703740748149631,0.8679867986798679,0.8691804168504632
"(None, 3, True, (1, 3), False)",400,3870,0.8421263189478422,0.8457691538307661,0.8384838483848385,0.8421264403878156
"(None, 3, True, (1, 3), True)",400,4240,0.8763314497174576,0.8894778955791158,0.8631863186318632,0.8763318879761456
"(None, 5, False, (1, 1), False)",400,947,0.7974196129419413,0.8221644328865774,0.7726772677267727,0.7974204378517639
"(None, 5, False, (1, 1), True)",400,889,0.8448767315097264,0.8247649529905982,0.864986498649865,0.8448760610500633
"(None, 5, False, (1, 2), False)",400,1771,0.8028704305645847,0.8214642928585717,0.7842784278427842,0.8028710504219801
"(None, 5, False, (1, 2), True)",400,1773,0.8496774516177427,0.8825765153030606,0.8167816781678168,0.8496785483628733
"(None, 5, False, (1, 3), False)",400,1908,0.8079711956793519,0.7992598519703941,0.8166816681668166,0.8079709052721875
"(None, 5, False, (1, 3), True)",400,1923,0.8543281492223833,0.8730746149229845,0.8355835583558355,0.8543287741670679
"(None, 5, True, (1, 1), False)",400,886,0.8245236785517828,0.8266653330666133,0.8223822382238224,0.8245237499474062
"(None, 5, True, (1, 1), True)",400,920,0.8492273841076161,0.8612722544508902,0.8371837183718371,0.8492277856434477
"(None, 5, True, (1, 2), False)",400,1759,0.8374256138420764,0.8459691938387678,0.8288828882888288,0.8374258986565577
"(None, 5, True, (1, 2), True)",400,1837,0.8631294694204129,0.886377275455091,0.8398839883988399,0.8631302444247813
"(None, 5, True, (1, 3), False)",400,1885,0.8310746611991798,0.8448689737947591,0.8172817281728173,0.8310751210555853
"(None, 5, True, (1, 3), True)",400,1939,0.8724808721308196,0.8925785157031406,0.8523852385238524,0.8724815421192709
"(1, False, (1, 1), False)",400,4485,0.7956693504025604,0.8324664932986597,0.7588758875887589,0.7956705770966597
"(1, False, (1, 1), True)",400,4448,0.837625643846577,0.8184636927385477,0.8567856785678568,0.8376250050509939
"(1, False, (1, 2), False)",400,28451,0.7991198679801971,0.8287657531506302,0.7694769476947695,0.7991208562751989
"(1, False, (1, 2), True)",400,30852,0.8535780367055058,0.8867773554710943,0.8203820382038204,0.8535791434601402
"(1, False, (1, 3), False)",400,69326,0.7860179026854028,0.7580516103220644,0.8139813981398142,0.786016970382427
"(1, False, (1, 3), True)",400,61837,0.8402760414062109,0.9102820564112822,0.7702770277027703,0.8402783751734212
"(1, True, (1, 1), False)",400,4207,0.8411261689253388,0.8505701140228046,0.8316831683168316,0.8411264837549917
"(1, True, (1, 1), True)",400,4253,0.8608791318697805,0.8892778555711143,0.8324832483248324,0.8608800785885758
"(1, True, (1, 2), False)",400,28516,0.8469770465569836,0.8931786357271454,0.8007800780078008,0.8469785867639765
"(1, True, (1, 2), True)",400,28124,0.8650797619642946,0.9010802160432086,0.8290829082908291,0.8650809620994441
"(1, True, (1, 3), False)",400,62275,0.8148222233335001,0.8944788957791558,0.7351735173517352,0.8148248788214637
"(1, True, (1, 3), True)",400,64594,0.8518277741661249,0.9328865773154632,0.7707770777077708,0.8518304763964529
"(3, False, (1, 1), False)",400,1389,0.8041706255938391,0.8351670334066813,0.7731773177317732,0.8041716589107645
"(3, False, (1, 1), True)",400,1396,0.8528779316897535,0.8792758551710342,0.8264826482648265,0.8528788117085381
"(3, False, (1, 2), False)",400,3347,0.7900185027754163,0.7825565113022604,0.7974797479747975,0.7900182540174914
"(3, False, (1, 2), True)",400,3415,0.8504775716357453,0.8576715343068614,0.8432843284328433,0.8504778114584833
"(3, False, (1, 3), False)",400,4175,0.7965194779216882,0.8047609521904381,0.7882788278827882,0.7965197526649715
"(3, False, (1, 3), True)",400,4134,0.859278891833775,0.8542708541708341,0.8642864286428643,0.8592787248824911
"(3, True, (1, 1), False)",400,1383,0.8393759063859579,0.8565713142628526,0.8221822182218221,0.8393764796235442
"(3, True, (1, 1), True)",400,1376,0.8583787568135219,0.8781756351270255,0.8385838583858386,0.858379416775462
"(3, True, (1, 2), False)",400,3316,0.8517277591638746,0.8862772554510903,0.8171817181718172,0.8517289109289273
"(3, True, (1, 2), True)",400,3466,0.8715307296094414,0.8741748349669934,0.8688868886888689,0.8715308177551013
"(3, True, (1, 3), False)",400,3768,0.8513276991548733,0.8460692138427686,0.8565856585658566,0.8513275238544994
"(3, True, (1, 3), True)",400,3866,0.8704805720858129,0.9004800960192039,0.8404840484048405,0.8704815721699525
"(5, False, (1, 1), False)",400,900,0.8147722158323748,0.8355671134226845,0.7939793979397941,0.8147729090649513
"(5, False, (1, 1), True)",400,890,0.8504275641346202,0.8659731946389277,0.8348834883488349,0.8504280823741276
"(5, False, (1, 2), False)",400,1809,0.7999699954993249,0.8081616323264653,0.7917791779177917,0.7999702685811939
"(5, False, (1, 2), True)",400,1879,0.8519277891683753,0.8469693938787758,0.8568856885688569,0.8519276238720027
"(5, False, (1, 3), False)",400,1934,0.7915687353102966,0.8193638727745549,0.7637763776377637,0.7915696619075384
"(5, False, (1, 3), True)",400,2019,0.8588288243236486,0.8776755351070215,0.83998399839984,0.85882945261017
"(5, True, (1, 1), False)",400,892,0.8275741361204181,0.8411682336467293,0.8139813981398142,0.8275745893023205
"(5, True, (1, 1), True)",400,898,0.8567285092763914,0.878375675135027,0.8350835083508351,0.8567292309207512
"(5, True, (1, 2), False)",400,1932,0.837925688853328,0.8374674934986998,0.8383838383838383,0.837925673578622
"(5, True, (1, 2), True)",400,1798,0.8614792218832825,0.8635727145429086,0.8593859385938594,0.8614792916733501
"(5, True, (1, 3), False)",400,1777,0.8172725908886332,0.8685737147429486,0.7659765976597659,0.817274301097116
"(5, True, (1, 3), True)",400,1957,0.8671300695104266,0.8627725545109022,0.8714871487148715,0.8671299242454001
"(None, 1, False, (1, 1), False)",4000,13842,0.879793989699485,0.8851885188518852,0.8744,0.8797941695171234
"(None, 1, False, (1, 1), True)",4000,13858,0.9112955647782388,0.9216921692169217,0.9009,0.9112959113317202
"(None, 1, False, (1, 2), False)",4000,159851,0.8821941097054853,0.8946894689468947,0.8697,0.88219452621746
"(None, 1, False, (1, 2), True)",4000,160873,0.9146457322866144,0.9253925392539254,0.9039,0.9146460905135133
"(None, 1, False, (1, 3), False)",4000,466099,0.8778938946947348,0.8776877687768777,0.8781,0.8778938878238708
"(None, 1, False, (1, 3), True)",4000,466859,0.9086954347717386,0.9311931193119312,0.8862,0.9086961846945566
"(None, 1, True, (1, 1), False)",4000,13843,0.8999949997499875,0.9097909790979096,0.8902,0.8999953262826325
"(None, 1, True, (1, 1), True)",4000,13770,0.9182959147957398,0.9329932993299329,0.9036,0.9182964047085576
"(None, 1, True, (1, 2), False)",4000,159602,0.9014450722536128,0.9067906790679068,0.8961,0.9014452504405065
"(None, 1, True, (1, 2), True)",4000,160457,0.9209960498024902,0.9341934193419342,0.9078,0.9209964897148081
"(None, 1, True, (1, 3), False)",3999,456307,0.8986949347467373,0.916991699169917,0.8804,0.8986955446388847
"(None, 1, True, (1, 3), True)",4000,472365,0.9145457272863644,0.9334933493349334,0.8956,0.9145463588737659
"(None, 3, False, (1, 1), False)",4000,5352,0.8811940597029851,0.8965896589658966,0.8658,0.8811945728896272
"(None, 3, False, (1, 1), True)",4000,5376,0.9138956947847392,0.9207920792079208,0.907,0.91389592466422
"(None, 3, False, (1, 2), False)",4000,27370,0.8903445172258613,0.9001900190019002,0.8805,0.8903448454092538
"(None, 3, False, (1, 2), True)",4000,27489,0.9216960848042404,0.9267926792679269,0.9166,0.9216962546907225
"(None, 3, False, (1, 3), False)",4000,40498,0.8851442572128606,0.8907890789078908,0.8795,0.8851444453735837
"(None, 3, False, (1, 3), True)",3999,40898,0.9172458622931148,0.923892389238924,0.9106,0.917246083844013
"(None, 3, True, (1, 1), False)",4000,5216,0.895394769738487,0.9039903990399041,0.8868,0.8953950562594638
"(None, 3, True, (1, 1), True)",3999,5372,0.9186459322966148,0.931893189318932,0.9054,0.9186463738718489
"(None, 3, True, (1, 2), False)",4000,27352,0.903295164758238,0.9122912291229124,0.8943,0.9032954646270501
"(None, 3, True, (1, 2), True)",4000,28155,0.9261963098154908,0.935893589358936,0.9165,0.9261966330581423
"(None, 3, True, (1, 3), False)",4000,40009,0.9054452722636132,0.9187918791879188,0.8921,0.9054457171505107
"(None, 3, True, (1, 3), True)",4000,41115,0.9261463073153656,0.9368936893689368,0.9154,0.9261466655614341
"(None, 5, False, (1, 1), False)",4000,3828,0.8823441172058603,0.896989698969897,0.8677,0.8823446053919191
"(None, 5, False, (1, 1), True)",4000,3735,0.9133956697834892,0.921892189218922,0.9049,0.9133959530008037
"(None, 5, False, (1, 2), False)",3999,15416,0.8902445122256113,0.9038903890389038,0.8766,0.8902449670881717
"(None, 5, False, (1, 2), True)",4000,15717,0.9221961098054904,0.931893189318932,0.9125,0.9221964330414741
"(None, 5, False, (1, 3), False)",4000,20623,0.8870443522176109,0.8994899489948995,0.8746,0.8870447670708369
"(None, 5, False, (1, 3), True)",4000,20757,0.92029601480074,0.9270927092709272,0.9135,0.9202962413572223
"(None, 5, True, (1, 1), False)",4000,3766,0.8989949497474874,0.9091909190919092,0.8888,0.8989952896131322
"(None, 5, True, (1, 1), True)",4000,3850,0.9171458572928648,0.9245924592459246,0.9097,0.9171461055129297
"(None, 5, True, (1, 2), False)",4000,15314,0.9057452872643632,0.9170917091709172,0.8944,0.9057456654784267
"(None, 5, True, (1, 2), True)",4000,15193,0.927896394819741,0.9337933793379338,0.922,0.9278965913858915
"(None, 5, True, (1, 3), False)",4000,20832,0.9067453372668632,0.9146914691469148,0.8988,0.9067456021379261
"(None, 5, True, (1, 3), True)",4000,20909,0.927046352317616,0.9413941394139412,0.9127,0.9270468305771858
"(1, False, (1, 1), False)",3999,13726,0.8787939396969848,0.893989398939894,0.8636,0.878794446212293
"(1, False, (1, 1), True)",4000,13576,0.9131956597829892,0.9236923692369235,0.9027,0.9131960096733042
"(1, False, (1, 2), False)",4000,161699,0.8865443272163608,0.8990899089908991,0.8740000000000001,0.88654474540242
"(1, False, (1, 2), True)",3999,160962,0.9136456822841142,0.9263926392639265,0.9009,0.9136461071826801
"(1, False, (1, 3), False)",4000,469252,0.8778438921946097,0.8817881788178817,0.8739,0.8778440236708304
"(1, False, (1, 3), True)",4000,461000,0.9022451122556128,0.9299929992999301,0.8745,0.902246037185181
"(1, True, (1, 1), False)",4000,13589,0.8975948797439872,0.9027902790279028,0.8924,0.8975950529239634
"(1, True, (1, 1), True)",4000,13776,0.9174458722936146,0.9243924392439244,0.9105,0.9174461038458462
"(1, True, (1, 2), False)",4000,163605,0.8992949647482374,0.9126912691269128,0.8859,0.8992954112917168
"(1, True, (1, 2), True)",4000,160007,0.92029601480074,0.9371937193719372,0.9034,0.920296578057559
"(1, True, (1, 3), False)",4000,464465,0.8973948697434871,0.9053905390539054,0.8894,0.8973951362657976
"(1, True, (1, 3), True)",3999,470524,0.9171958597929896,0.9427942794279428,0.8916,0.9171967130736441
"(3, False, (1, 1), False)",4000,5328,0.8803440172008601,0.8963896389638963,0.8643,0.8803445520549188
"(3, False, (1, 1), True)",4000,5337,0.912845642282114,0.9233923392339234,0.9023,0.9128459938386791
"(3, False, (1, 2), False)",4000,27478,0.8838941947097355,0.8935893589358936,0.8742,0.8838945178818763
"(3, False, (1, 2), True)",4000,27545,0.9204460223011149,0.926092609260926,0.9148,0.9204462105206802
"(3, False, (1, 3), False)",4000,40576,0.8840442022101105,0.896989698969897,0.8711,0.8840446337266691
"(3, False, (1, 3), True)",4000,40326,0.919745987299365,0.9245924592459246,0.9149,0.9197461488484299
"(3, True, (1, 1), False)",4000,5404,0.8965948297414871,0.9074907490749076,0.8857,0.8965951929387982
"(3, True, (1, 1), True)",4000,5264,0.9187459372968648,0.9281928192819282,0.9093,0.918746252192931
"(3, True, (1, 2), False)",3999,27784,0.9037451872593628,0.9111911191119112,0.8963,0.9037454354570914
"(3, True, (1, 2), True)",4000,27650,0.9255462773138656,0.9345934593459346,0.9165,0.9255465788866001
"(3, True, (1, 3), False)",3999,40215,0.9055952797639882,0.9145914591459146,0.8966,0.9055955796366342
"(3, True, (1, 3), True)",4000,40652,0.928346417320866,0.9370937093709372,0.9196,0.9283467088972678
"(5, False, (1, 1), False)",4000,3834,0.8811940597029851,0.8892889288928892,0.8731,0.8811943295319581
"(5, False, (1, 1), True)",4000,3787,0.9152957647882394,0.9219921992199219,0.9086,0.9152959880027204
"(5, False, (1, 2), False)",3999,15485,0.8876443822191109,0.9046904690469046,0.8706,0.8876449504220053
"(5, False, (1, 2), True)",4000,15499,0.920246012300615,0.9271927192719271,0.9133,0.920246243857514
"(5, False, (1, 3), False)",4000,20751,0.8856942847142357,0.8970897089708971,0.8743,0.885694664561711
"(5, False, (1, 3), True)",4000,21197,0.9232461623081154,0.9310931093109313,0.9154,0.9232464238730156
"(5, True, (1, 1), False)",4000,3768,0.8985449272463624,0.9075907590759076,0.8895,0.8985452287740899
"(5, True, (1, 1), True)",4000,3828,0.9179958997949896,0.927892789278928,0.9081,0.9179962296913059
"(5, True, (1, 2), False)",4000,15332,0.9070453522676134,0.92009200920092,0.894,0.9070457871561778
