params,samples,features,accuracy,recall_0,recall_1,avg_score
"(5, True, (1, 2), True)",4000,15305,0.9295964798239912,0.9381938193819382,0.9209999999999999,0.9295967664019765
"(5, True, (1, 3), False)",4000,20205,0.905495274763738,0.9221922192219222,0.8888,0.9054958313285534
"(5, True, (1, 3), True)",4000,21163,0.927546377318866,0.9367936793679368,0.9183,0.9275466855622675
"(None, 1, False, (1, 1), False)",20000,29453,0.9175458772938648,0.9272927292729272,0.9078,0.9175462021889307
"(None, 1, False, (1, 1), True)",20000,29351,0.9382469123456172,0.942194219421942,0.9343,0.9382470439225198
"(None, 1, False, (1, 2), False)",19999,497045,0.927146357317866,0.9370937093709372,0.9172,0.9271466888962676
"(None, 1, False, (1, 2), True)",20000,497163,0.9452972648632432,0.9502950295029504,0.9403,0.9452974314553978
"(None, 1, False, (1, 3), False)",19999,1773051,0.9254962748137406,0.9313931393139314,0.9196,0.9254964713758906
"(None, 1, False, (1, 3), True)",19999,1765332,0.9420471023551178,0.9525952595259526,0.9315,0.9420474539603568
"(None, 1, True, (1, 1), False)",19998,28994,0.9239961998099904,0.9311931193119312,0.9168,0.9239964397073072
"(None, 1, True, (1, 1), True)",20000,29332,0.9388469423471174,0.9392939293929392,0.9384,0.9388469572466857
"(None, 1, True, (1, 2), False)",19999,495146,0.9360468023401172,0.9406940694069408,0.9314,0.9360469572490193
"(None, 1, True, (1, 2), True)",19999,502372,0.9513475673783688,0.9587958795879588,0.9439,0.9513478156554426
"(None, 1, True, (1, 3), False)",19999,1783236,0.935796789839492,0.9394939493949396,0.9321,0.9357969130781439
"(None, 1, True, (1, 3), True)",20000,1751704,0.9484474223711186,0.9607960796079608,0.9361,0.9484478339930265
"(None, 3, False, (1, 1), False)",20000,12065,0.9182459122956148,0.9286928692869288,0.9078,0.9182462605275146
"(None, 3, False, (1, 1), True)",20000,12178,0.9395969798489924,0.942094209420942,0.9371,0.9395970630899781
"(None, 3, False, (1, 2), False)",19999,98541,0.927996399819991,0.9352935293529352,0.9207,0.9279966430576421
"(None, 3, False, (1, 2), True)",19998,98784,0.9480474023701184,0.9532953295329532,0.9428,0.9480475773010238
"(None, 3, False, (1, 3), False)",20000,185882,0.9287964398219912,0.9356935693569356,0.9219,0.9287966697263089
"(None, 3, False, (1, 3), True)",19999,187594,0.9483974198709936,0.9537953795379538,0.943,0.9483975998029824
"(None, 3, True, (1, 1), False)",19998,12075,0.9248962448122406,0.9317931793179318,0.9179999999999999,0.9248964747100574
"(None, 3, True, (1, 1), True)",19998,12121,0.9379968998449922,0.9427942794279428,0.9332,0.9379970597576449
"(None, 3, True, (1, 2), False)",19998,99020,0.936896844842242,0.9422942294229424,0.9315,0.9368970247550615
"(None, 3, True, (1, 2), True)",19998,99425,0.951697584879244,0.9582958295829584,0.9451,0.9516978048207342
"(None, 3, True, (1, 3), False)",20000,186866,0.9379468973448672,0.9442944294429444,0.9316,0.9379471089292705
"(None, 3, True, (1, 3), True)",20000,186826,0.952197609880494,0.9602960296029605,0.9441,0.9521978798278181
"(None, 5, False, (1, 1), False)",19999,8832,0.9174958747937396,0.9263926392639265,0.9086,0.9174961713525552
"(None, 5, False, (1, 1), True)",19999,8930,0.9370968548427422,0.9415941594159416,0.9326,0.9370970047528946
"(None, 5, False, (1, 2), False)",19999,59379,0.9294464723236162,0.9392939293929392,0.9196,0.9294468005721851
"(None, 5, False, (1, 2), True)",19999,59256,0.9489974498724936,0.953995399539954,0.9440000000000001,0.9489976164708159
"(None, 5, False, (1, 3), False)",19999,98397,0.9286964348217412,0.9370937093709372,0.9203,0.9286967147308928
"(None, 5, False, (1, 3), True)",19999,99031,0.9481474073703684,0.9541954195419542,0.9421,0.9481476089707742
"(None, 5, True, (1, 1), False)",19999,8860,0.9252462623131156,0.9309930993099309,0.9195,0.9252464538743489
"(None, 5, True, (1, 1), True)",19999,8911,0.9387969398469924,0.941894189418942,0.9357,0.9387970430886448
"(None, 5, True, (1, 2), False)",19998,59243,0.9376468823441172,0.9444944494449444,0.9308,0.9376471105963539
"(None, 5, True, (1, 2), True)",19999,59006,0.9496474823741188,0.9574957495749576,0.9418,0.9496477439830254
"(None, 5, True, (1, 3), False)",19999,97557,0.9384469223461172,0.9466946694669468,0.9302,0.9384471972710213
"(None, 5, True, (1, 3), True)",19998,98582,0.953097654882744,0.958095809580958,0.9481,0.9530978214879008
"(1, False, (1, 1), False)",19997,29319,0.9166458322916146,0.925992599259926,0.9073,0.9166461438505135
"(1, False, (1, 1), True)",19999,29343,0.9387469373468672,0.9426942694269428,0.9348,0.9387470689246032
"(1, False, (1, 2), False)",19999,500756,0.927146357317866,0.9368936893689368,0.9174,0.9271466822289343
"(1, False, (1, 2), True)",19998,501233,0.9462473123656184,0.9501950195019502,0.9423,0.9462474439558561
"(1, False, (1, 3), False)",19999,1763307,0.927746387319366,0.9354935493549354,0.92,0.9277466455581004
"(1, False, (1, 3), True)",19999,1767870,0.9432971648582428,0.9534953495349536,0.9331,0.9432975047977322
"(1, True, (1, 1), False)",20000,29549,0.9237961898094904,0.9291929192919292,0.9184,0.9237963697004732
"(1, True, (1, 1), True)",20000,29517,0.9402970148507426,0.9451945194519452,0.9354,0.940297178100896
"(1, True, (1, 2), False)",20000,494457,0.935296764838242,0.9404940494049404,0.9301,0.9352969380810608
"(1, True, (1, 2), True)",19999,499796,0.9494974748737436,0.956095609560956,0.9429,0.9494976948115665
"(1, True, (1, 3), False)",19999,1755051,0.9341467073353668,0.9411941194119412,0.9271,0.9341469422491026
"(1, True, (1, 3), True)",19998,1751700,0.9457472873643682,0.956995699569957,0.9345,0.9457476623114417
"(3, False, (1, 1), False)",20000,12170,0.9182959147957398,0.9262926292629264,0.9103,0.9182961813528888
"(3, False, (1, 1), True)",20000,12131,0.9379968998449922,0.944094409440944,0.9319,0.937997103095312
"(3, False, (1, 2), False)",20000,99503,0.928346417320866,0.934093409340934,0.9226,0.9283466088872667
"(3, False, (1, 2), True)",19999,98833,0.9489474473723686,0.9528952895289527,0.945,0.9489475789671071
"(3, False, (1, 3), False)",19999,187338,0.9302965148257412,0.9393939393939394,0.9212,0.9302968180732268
"(3, False, (1, 3), True)",19999,186443,0.9495474773738688,0.9548954895489548,0.9442,0.9495476556409411
"(3, True, (1, 1), False)",20000,12208,0.9253462673133656,0.9310931093109313,0.9196,0.9253464588747656
"(3, True, (1, 1), True)",20000,12294,0.9386969348467424,0.9446944694469448,0.9327,0.9386971347645624
"(3, True, (1, 2), False)",19999,99175,0.935596779838992,0.9433943394339434,0.9278,0.9355970397576451
"(3, True, (1, 2), True)",19998,99899,0.9507475373768688,0.9581958195819582,0.9433,0.9507477856529424
"(3, True, (1, 3), False)",20000,186886,0.9381469073453672,0.9425942594259424,0.9337,0.9381470555904365
"(3, True, (1, 3), True)",19998,187556,0.9523976198809939,0.958095809580958,0.9467,0.9523978098206506
"(5, False, (1, 1), False)",20000,8784,0.9179458972948648,0.9273927392739274,0.9085,0.9179462121895975
"(5, False, (1, 1), True)",19998,8886,0.9368468423421172,0.9413941394139412,0.9323,0.9368469939186862
"(5, False, (1, 2), False)",19998,59647,0.9286964348217412,0.9370937093709372,0.9203,0.9286967147308928
"(5, False, (1, 2), True)",19998,59394,0.9474473723686184,0.9516951695169515,0.9432,0.9474475139618567
"(5, False, (1, 3), False)",19998,98302,0.927696384819241,0.9361936193619362,0.9192,0.9276966680603924
"(5, False, (1, 3), True)",19999,98360,0.9490474523726188,0.9567956795679567,0.9413,0.9490477106468586
"(5, True, (1, 1), False)",19997,8991,0.9253462673133656,0.9316931693169316,0.919,0.9253464788767657
"(5, True, (1, 1), True)",19998,8974,0.9382969148457424,0.9437943794379438,0.9328,0.9382970980945621
"(5, True, (1, 2), False)",19999,59360,0.9379968998449922,0.942994299429943,0.9329999999999999,0.9379970664249783
"(5, True, (1, 2), True)",19999,58971,0.9505475273763688,0.9579957995799581,0.9431,0.950547775652109
"(5, True, (1, 3), False)",19997,98042,0.936696834841742,0.9431943194319432,0.9302,0.9366970514245617
"(5, True, (1, 3), True)",20000,98505,0.953197659882994,0.9590959095909593,0.9473,0.9531978564913178
"(None, 1, False, (1, 1), False)",27997,34321,0.9240962048102404,0.9338933893389338,0.9143,0.924096531383058
"(None, 1, False, (1, 1), True)",27993,34208,0.9402970148507426,0.9450945094509452,0.9355,0.9402971747672293
"(None, 1, False, (1, 2), False)",27999,630056,0.9327466373318666,0.9392939293929392,0.9262,0.9327468555749353
"(None, 1, False, (1, 2), True)",27998,631689,0.9499474973748688,0.9541954195419542,0.9457,0.9499476389722744
"(None, 1, False, (1, 3), False)",27998,2329902,0.9312465623281164,0.9372937293729372,0.9252,0.9312467639003512
"(None, 1, False, (1, 3), True)",27998,2313366,0.9474973748687434,0.9544954495449544,0.9405,0.9474976081378993
"(None, 1, True, (1, 1), False)",27998,34170,0.927546377318866,0.9331933193319332,0.9219,0.9275465655502665
"(None, 1, True, (1, 1), True)",28000,34163,0.9396969848492424,0.943894389438944,0.9355,0.9396971247627288
"(None, 1, True, (1, 2), False)",27998,625365,0.9403970198509926,0.9445944594459446,0.9362,0.9403971597656456
"(None, 1, True, (1, 2), True)",27997,629400,0.952047602380119,0.958095809580958,0.946,0.9520478039870257
"(None, 1, True, (1, 3), False)",27996,2316211,0.9398969948497424,0.9473947394739474,0.9324,0.9398972447745632
"(None, 1, True, (1, 3), True)",27996,2291139,0.9504975248762438,0.9586958695869588,0.9423,0.9504977981544008
"(None, 3, False, (1, 1), False)",27995,14320,0.9228461423071154,0.9324932493249324,0.9132,0.9228464638773493
"(None, 3, False, (1, 1), True)",27998,14187,0.9401970098504924,0.9435943594359436,0.9368,0.9401971230954786
"(None, 3, False, (1, 2), False)",27998,128924,0.9333966698334916,0.9404940494049404,0.9263,0.9333969064128107
"(None, 3, False, (1, 2), True)",27999,128887,0.9503475173758688,0.9545954595459546,0.9461,0.9503476589739411
"(None, 3, False, (1, 3), False)",27997,253834,0.9347467373368668,0.942194219421942,0.9273,0.9347469855862697
"(None, 3, False, (1, 3), True)",27998,255945,0.9506475323766188,0.9557955795579558,0.9455,0.9506477039781916
"(None, 3, True, (1, 1), False)",27999,14267,0.928046402320116,0.9324932493249324,0.9236,0.9280465505483494
"(None, 3, True, (1, 1), True)",27995,14310,0.9386969348467424,0.9427942794279428,0.9346,0.9386970714248951
"(None, 3, True, (1, 2), False)",27999,128366,0.9403970198509926,0.9455945594559456,0.9352,0.9403971931023127
"(None, 3, True, (1, 2), True)",27998,128472,0.952997649882494,0.9587958795879588,0.9472,0.9529978431568176
"(None, 3, True, (1, 3), False)",27997,256141,0.9411970598529926,0.9482948294829484,0.9341,0.9411972964453136
"(None, 3, True, (1, 3), True)",27998,255915,0.9540477023851192,0.95999599959996,0.9481,0.954047900661693
"(None, 5, False, (1, 1), False)",27992,10500,0.9246962348117406,0.9325932593259326,0.9168,0.924696498045891
"(None, 5, False, (1, 1), True)",28000,10604,0.9417470873543676,0.9473947394739474,0.9361,0.9417472756094384
"(None, 5, False, (1, 2), False)",27998,78177,0.9342467123356168,0.9436943694369436,0.9248,0.9342470272575202
"(None, 5, False, (1, 2), True)",27998,77605,0.9506475323766188,0.952995299529953,0.9483,0.9506476106355239
"(None, 5, False, (1, 3), False)",27998,136831,0.9339966998349918,0.944094409440944,0.9239,0.933997036425312
"(None, 5, False, (1, 3), True)",27996,135575,0.9513475673783688,0.956095609560956,0.9466,0.9513477256464417
"(None, 5, True, (1, 1), False)",27999,10555,0.928096404820241,0.9337933793379338,0.9224,0.9280965947193917
"(None, 5, True, (1, 1), True)",27997,10619,0.9392469623481174,0.9430943094309432,0.9354,0.9392470905930201
"(None, 5, True, (1, 2), False)",27999,77597,0.9409970498524928,0.9467946794679468,0.9352,0.9409972431068132
"(None, 5, True, (1, 2), True)",27998,77994,0.952097604880244,0.956095609560956,0.9481,0.9520977381470667
"(None, 5, True, (1, 3), False)",27999,136448,0.9419970998549928,0.9465946594659466,0.9374,0.9419972531069799
"(None, 5, True, (1, 3), True)",27996,136033,0.9541477073853692,0.9596959695969596,0.9486,0.9541478923274429
"(1, False, (1, 1), False)",27998,34201,0.9232961648082404,0.9323932393239324,0.9142,0.9232964680440575
"(1, False, (1, 1), True)",27999,34295,0.9412970648532428,0.9469946994699471,0.9356,0.9412972547743966
"(1, False, (1, 2), False)",27999,630191,0.9334966748337415,0.9406940694069408,0.9263,0.9334969147468941
"(1, False, (1, 2), True)",27999,628750,0.9482474123706184,0.9537953795379538,0.9427,0.9482475973028573
"(1, False, (1, 3), False)",27998,2311785,0.9312965648282414,0.9393939393939394,0.9232,0.9312968347407269
"(1, False, (1, 3), True)",27997,2312029,0.9466473323666184,0.952095209520952,0.9412,0.9466475139625233
"(1, True, (1, 1), False)",27998,34196,0.928746437321866,0.9334933493349334,0.924,0.9287465955522665
"(1, True, (1, 1), True)",27997,34302,0.9420971048552428,0.946094609460946,0.9381,0.9420972381053963
"(1, True, (1, 2), False)",27996,621684,0.9397969898494924,0.9451945194519452,0.9344,0.939797169767146
"(1, True, (1, 2), True)",27997,630679,0.9514475723786188,0.9570957095709572,0.9458,0.9514477606498586
"(1, True, (1, 3), False)",27999,2325827,0.9372968648432422,0.9417941794179416,0.9328,0.937297014753728
"(1, True, (1, 3), True)",27999,2298857,0.9508475423771188,0.9595959595959596,0.9421,0.9508478339910261
"(3, False, (1, 1), False)",27997,14320,0.9231461573078654,0.9331933193319332,0.9131,0.9231464922132662
"(3, False, (1, 1), True)",27998,14318,0.9407470373518676,0.943994399439944,0.9375,0.9407471455972706
"(3, False, (1, 2), False)",27999,129399,0.9332466623331168,0.9422942294229424,0.9242,0.9332469639186863
"(3, False, (1, 2), True)",27997,128517,0.9509475473773688,0.956095609560956,0.9458,0.9509477189794415
"(3, False, (1, 3), False)",27997,253061,0.9342467123356168,0.942094209420942,0.9264,0.934246973918853
"(3, False, (1, 3), True)",28000,255008,0.9505475273763688,0.9546954695469548,0.9464,0.9505476656411079
"(3, True, (1, 1), False)",27997,14341,0.9289964498224912,0.9310931093109313,0.9269,0.9289965197111408
"(3, True, (1, 1), True)",27995,14370,0.9401970098504924,0.9412941294129412,0.9391,0.9401970464211447
"(3, True, (1, 2), False)",27997,129492,0.9412970648532428,0.9454945494549456,0.9371,0.9412972047693962
"(3, True, (1, 2), True)",27999,129179,0.9539976998849944,0.9593959395939594,0.9486,0.9539978798263179
"(3, True, (1, 3), False)",27999,254110,0.9409470473523676,0.9468946894689471,0.935,0.9409472456071049
"(3, True, (1, 3), True)",27999,254778,0.9549477473873692,0.9622962296229624,0.9476,0.9549479923367773
"(5, False, (1, 1), False)",28000,10645,0.9226461323066152,0.9309930993099309,0.9143,0.9226464105388487
"(5, False, (1, 1), True)",27999,10484,0.9402470123506176,0.9441944194419442,0.9363,0.9402471439308538
"(5, False, (1, 2), False)",28000,77635,0.9323966198309916,0.9409940994099408,0.9238,0.932396906413644
"(5, False, (1, 2), True)",27998,77431,0.951847592379619,0.9583958395839584,0.9453,0.9518478106545257
"(5, False, (1, 3), False)",27995,136917,0.9335966798339916,0.9410941094109412,0.9261,0.9335969297483109
"(5, False, (1, 3), True)",27997,136241,0.9513475673783688,0.9561956195619562,0.9465,0.9513477289801083
"(5, True, (1, 1), False)",27999,10624,0.926946347317366,0.9308930893089308,0.9229999999999999,0.9269464788754322
"(5, True, (1, 1), True)",28000,10627,0.9405470273513676,0.943994399439944,0.9371,0.9405471422637706
"(5, True, (1, 2), False)",27997,77116,0.9399969998499924,0.945894589458946,0.9341,0.9399971964363129
"(5, True, (1, 2), True)",28000,78066,0.9535476773838693,0.957895789578958,0.9492,0.9535478223209424
"(5, True, (1, 3), False)",28000,136222,0.9410970548527426,0.9454945494549456,0.9367,0.941097201435896
"(5, True, (1, 3), True)",27998,136519,0.9532476623831192,0.9581958195819582,0.9483,0.9532478273216926
